0,1,2,3,4,5,6,7,8,9
-7.992367581928288,-7.983511127153018,-8.013046209946154,-8.130906183134583,-8.249729665128118,-8.314536994156468,-8.372219415869198,-8.490929004491152,-8.674028178893767,-8.907395090804851
-8.583094751708952,-8.48303005223976,-8.675327529764388,-8.851527108526154,-8.914377243727367,-8.978000720204053,-9.105092262461698,-9.210740551354219,-9.422954989018898,-9.728196650643039
-8.670931612150532,-8.631970241074926,-8.716701273693342,-8.925942341153236,-9.012428160775979,-9.075324334782303,-9.198851564919071,-9.309745670778623,-9.540309824446865,-9.809256417578972
-8.511132186418711,-8.53592324211254,-8.708626254966278,-8.817186862731866,-8.894216148773133,-8.968074208680116,-9.057772417447355,-9.18548721300415,-9.394778501652313,-9.659537775151753
-8.607019759357007,-8.666031191076216,-8.773103818512134,-8.899398310117535,-8.991210595301332,-9.06582257531858,-9.169121931585146,-9.281475812561613,-9.499096193577799,-9.748325987387105
-8.672533092207908,-8.674401710523412,-8.796390156693132,-8.96969740274845,-9.0614748740471,-9.168530834405352,-9.275030638345815,-9.392825117780434,-9.618491784407514,-9.894779602635005
-8.802404056401253,-8.751615348132605,-8.919421758501999,-9.098652594510702,-9.252605375634538,-9.32731256823646,-9.422065980771666,-9.555790561451218,-9.77614214178205,-10.077870638858741
-8.958843131899341,-8.849988908247163,-8.958835332861083,-9.258226318604066,-9.402158368561851,-9.45486631366493,-9.561532433297382,-9.679032356367436,-9.919445886239759,-10.229605837287759
-9.007292070575918,-9.039265718197722,-9.19449641906663,-9.333346926115059,-9.471439831488013,-9.548168616517977,-9.62281362638819,-9.737945232266815,-9.968928291667691,-10.298559926745568
-8.825092499892289,-8.893257311399351,-9.00799072844039,-9.160791147041909,-9.275073666054029,-9.349006675008988,-9.432145441891834,-9.570173836087008,-9.791636276977878,-10.157492639310268
